parent_name,parent_smiles,metabolite_name,metabolite_smiles,enzymes,reaction_types,fingerprint_similarity
(R)-halothane,FC(F)(F)C(Cl)Br,trifluoroacetic acid,O=C(O)C(F)(F)F,CYP2E1,Oxidation of halotrifluoroethane,0.19
(-)-limonene,C=C(C)C1CC=C(C)CC1,Carveol,C=C(C)C1CC=C(C)C(O)C1,CYP2C9; CYP2C19,Allylic hydroxylation,0.58
(-)-limonene,C=C(C)C1CC=C(C)CC1,Perillyl alcohol,C=C(C)C1CC=C(CO)CC1,CYP2C9; CYP2C19; CYP3A4,Allylic hydroxylation,0.76
Perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,cis-hydroxyperhexilline,OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,CYP2D6,Hydroxylation of alicyclic secondary carbon,0.8
Perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,trans-hydroxyperhexilline,OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,CYP2D6,Hydroxylation of alicyclic secondary carbon,0.8
(r)-azelastine,CN1CCCC(N2N=C(CC3=CC=C(Cl)C=C3)C3=CC=CC=C3C2=O)CC1,"(r)-azelastine, N-desmethyl",O=C1C2=CC=CC=C2C(CC2=CC=C(Cl)C=C2)=NN1C1CCCNCC1,CYP3A4; CYP2D6; CYP1A2 (minor),N-dealkylation of alicyclic tertiary amine,0.98
(r)-metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,alpha-Hydroxymetoprolol,COCC(O)C1=CC=C(OCC(O)CNC(C)C)C=C1,CYP2D6,Hydroxylation of non-terminal aliphatic carbon adjacent to aromatic ring,0.83
(s)-(-)-carvedilol,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,O-Desmethylcarvedilol,OC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,CYP2C9 (major); CYP2D6 (minor); CYP1A2 (minor); CYP2E1 (minor),O-aryl demethylation,0.98
(s)-(+)-ibuprofen,CC(C)CC1=CC=C(C(C)C(=O)O)C=C1,2-Hydroxyibuprofen,CC(C(=O)O)C1=CC=C(CC(C)(C)O)C=C1,CYP2C9; CYP2C8,Hydroxylation of penultimate aliphatic tertiary carbon,0.91
(s)-(+)-ibuprofen,CC(C)CC1=CC=C(C(C)C(=O)O)C=C1,3-Hydroxyibuprofen,CC(CO)CC1=CC=C(C(C)C(=O)O)C=C1,CYP2C9; CYP2C8,Hydroxylation of terminal methyl,0.92
(s)-fluoxetine,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1,(s)-Norfluoxetine,NCCC(OC1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1,CYP2C9 (major); CYP2D6; CYP2C19; CYP3A4; CYP3A5,N-dealkylation of acyclic secondary amine,0.95
(s)-fluoxetine,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1,p-Trifluoromethyl phenol,OC1=CC=C(C(F)(F)F)C=C1,CYP2C19; CYP3A4,O-dealkylation,0.32
(s)-oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(C1=CC=CC=C1)C1CCCCC1,N-desethyloxybutynin,CCNCC#CCOC(=O)C(O)(C1=CC=CC=C1)C1CCCCC1,CYP3A4,N-dealkylation of acyclic tertiary amine,0.99
(s)-venlafaxine,COC1=CC=C(C(CN(C)C)C2(O)CCCCC2)C=C1,N-Desmethylvenlafaxine,CNCC(C1=CC=C(OC)C=C1)C1(O)CCCCC1,CYP2C19 (major); CYP3A4 (minor); CYP2C9 (minor),N-dealkylation of acyclic tertiary amine,0.95
(s)-venlafaxine,COC1=CC=C(C(CN(C)C)C2(O)CCCCC2)C=C1,O-Desmethylvenlafaxine,CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1,CYP2D6,O-aryl demethylation,0.96
4-Hydroxytamoxifen,CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,Endoxifen,CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCNC)C=C1)C1=CC=CC=C1,CYP3A4; CYP3A5,N-dealkylation of acyclic tertiary amine,0.98
aceclofenac,O=C(O)COC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Diclofenac,O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,CYP2C9,HYDROLYSIS_OF_CARBOXYLIC_ESTER,0.85
alfentanil,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCN2N=NN(CC)C2=O)CC1,Noralfentanil,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCNCC1,CYP3A4,N-dealkylation of alicyclic tertiary amine,0.73
alphacetylmethadol,CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,norLAAM,CCC(OC(C)=O)C(CC(C)NC)(C1=CC=CC=C1)C1=CC=CC=C1,CYP2B6;CYP2C8;CYP2C19;CYP3A4,N-DEMETHYLATION,0.97
amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,Nortriptyline,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,CYP2C19; CYP3A4; CYP2C9; CYP1A2,N-dealkylation of acyclic tertiary amine,0.99
amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,E-10-OH-amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CC(O)C2=CC=CC=C12,CYP2D6,Hydroxylation of alicyclic secondary carbon,0.73
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,5-HETE,CCCCCC=CCC=CCC=CC=CC(O)CCCC(=O)O,CYP1A1; CYP1A2; CYP2C8; CYP2C9,"Aliphatic hydroxylation of acyclic 1,2-disubstituted alkene",0.51
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,7-HETE,CCCCCC=CCC=CCC=CC(O)C=CCCCC(=O)O,CYP1A2; CYP3A4,Bisallylic hydroxylation,0.74
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,10-HETE,CCCCCC=CCC=CC(O)C=CCC=CCCCC(=O)O,CYP1A2; CYP2C8; CYP3A4,Bisallylic hydroxylation,0.77
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,13-HETE,CCCCCC=CC(O)C=CCC=CCC=CCCCC(=O)O,CYP1A2; CYP2C8; CYP2C9; CYP3A4,Bisallylic hydroxylation,0.74
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,17-HETE,CCCC(O)CC=CCC=CCC=CCC=CCCCC(=O)O,CYP1A1; CYP1A2,Hydroxylation of acyclic aliphatic secondary carbon,0.75
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,15-HETE,CCCCCC(O)C=CC=CCC=CCC=CCCCC(=O)O,CYP1A1; CYP1A2; CYP2C8,"Aliphatic hydroxylation of acyclic 1,2-disubstituted alkene",0.62
