parent_name,parent_smiles,metabolite_name,metabolite_smiles,enzymes,reaction_type,fingerprint_similarity
acetaminophen,CC(O)=NC1=CC=C(O)C=C1,N-Acetyl-p-benzoquinone,CC(=O)N=C1C=CC(=O)C=C1,CYP1A2; CYP2E1; CYP3A4; CYP2A6; CYP2C9; CYP2D6; CYP1A1,Oxidation of p-substituted anilides,0.06
acetaminophen,CC(O)=NC1=CC=C(O)C=C1,3-Hydroxyacetaminophen,CC(O)=NC1=CC=C(O)C(O)=C1,CYP2A6 (major); CYP2E1; CYP1A2; CYP2C8; CYP2C9; CYP3A4,Hydroxylation of benzene on carbon orhto to a strongly electron donating group,0.7
pinoline,COC1=CC=C2NC3=C(CCNC3)C2=C1,"1H,2H,3H,4H,9H‐pyrido[3,4‐b]indol‐6‐ol",OC1=CC=C2NC3=C(CCNC3)C2=C1,CYP2D6,O-aryl demethylation,0.95
1-(3-Trifluoromethylphenyl)piperazine,FC(F)(F)C1=CC=CC(N2CCNCC2)=C1,HO-TFMPP,OC1=CC=C(N2CCNCC2)C=C1C(F)(F)F,CYP2D6; CYP1A2; CYP3A4,Aromatic Hydroxylation,0.77
"2-Amino-3-methylimidazo(4,5-F)quinoline",CN1C(=N)NC2=C3C=CC=NC3=CC=C21,"N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)",CN1C(NO)=NC2=C3C=CC=NC3=CC=C21,CYP1A2; CYP1A1,N-Hydroxylation,0.65
"5-Methoxy-N,N-diisopropyltryptamine",COC1=CC=C2NC=C(CCN(C(C)C)C(C)C)C2=C1,5-OH-DIPT,CC(C)N(CCC1=CNC2=CC=C(O)C=C12)C(C)C,CYP2D6,O-Demethylation,0.92
"5-Methoxy-N,N-diisopropyltryptamine",COC1=CC=C2NC=C(CCN(C(C)C)C(C)C)C2=C1,5-MeO-IPT,COC1=CC=C2NC=C(CCNC(C)C)C2=C1,CYP1A2;CYP3A4;CYP2C9;CYP2C19,N-deisopropylation,0.95
(R)-halothane,FC(F)(F)C(Cl)Br,trifluoroacetic acid,O=C(O)C(F)(F)F,CYP2E1,Oxidation of halotrifluoroethane,0.19
(R)-halothane,FC(F)(F)C(Cl)Br,"1-chloro-2,2,2-trifluoroethanide",FC(F)(F)[CH-]Cl,CYP2A6; CYP3A4; CYP2B6; CYP2C9; CYP2D6,Reduction of terminal aliphatic trihalide,0.55
"(R)-3,4-Methylenedioxymethamphetamine",CNC(C)CC1=CC=C2OCOC2=C1,"N-Methyl-3,4- dihydroxyamphetamine",CNC(C)CC1=CC=C(O)C(O)=C1,CYP1A2; CYP2D6,Methylenedioxy ring opening,0.69
"(R)-3,4-Methylenedioxymethamphetamine",CNC(C)CC1=CC=C2OCOC2=C1,"3,4-Methylenedioxymethamphetamine",CC(N)CC1=CC=C2OCOC2=C1,CYP2D6 (major); CYP1A2; CYP2B6; CYP3A4,N-dealkylation of acyclic secondary amine,0.95
"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1C1=CC=CC([N+](=O)[O-])=C1,OPC-13463,COC(=O)C1=C(C)N=C(C)C(C(=O)O)=C1C1=CC=CC([N+](=O)[O-])=C1,CYP2C19;CYP2D6;CYP2E1;CYP3A4,Dehydrogenation,0.32
Homo-Tienilic Alcohol,O=C(C1=CC=CS1)C1=CC=C(OCCCO)C(Cl)=C1Cl,,O=C(C1=CC=C(O)S1)C1=CC=C(OCCCO)C(Cl)=C1Cl,CYP2C8;CYP2C9;CYP2C19,Aliphatic Hydroxylation,0.93
Homo-Tienilic Alcohol,O=C(C1=CC=CS1)C1=CC=C(OCCCO)C(Cl)=C1Cl,,O=C(C1=CC=CS1)C1=CC=C(O)C(Cl)=C1Cl,CYP2C8;CYP2C9;CYP2C19,O-Demethylation,0.86
(R)-1-(4-Methoxyphenyl)propan-2-amine,COC1=CC=C(CC(C)N)C=C1,,CC(N)CC1=CC=C(O)C=C1,CYP2D6,O-Demethylation,0.83
"1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol",COC12CC(CO)CN(C)C1CC1=CN(C)C3=CC=CC2=C13,MDL,COC12CC(CO)CN(C)C1CC1=CNC3=CC=CC2=C13,CYP2D6,N-Demethylation,0.94
"(S)-2-(2,6-Dichlorobenzamido)-3-(2',6'-dimethoxy-[1,1'-biphenyl]-4-yl)propanoic acid",COC1=CC=CC(OC)=C1C1=CC=C(CC(N=C(O)C2=C(Cl)C=CC=C2Cl)C(=O)O)C=C1,,COC1=CC=CC(O)=C1C1=CC=C(CC(N=C(O)C2=C(Cl)C=CC=C2Cl)C(=O)O)C=C1,CYP2C9,O-Desmethylation,0.99
Rabeprazole (rabeprazole_thioether),COCCCOC1=CC=NC(CSC2=NC3=CC=CC=C3N2)=C1C,Rabeprazole,COCCCOC1=CC=NC(CS(=O)C2=NC3=CC=CC=C3N2)=C1C,CYP1A2;CYP2A6;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,S-OXIDATION,0.86
Rabeprazole (rabeprazole_thioether),COCCCOC1=CC=NC(CSC2=NC3=CC=CC=C3N2)=C1C,Desmethylrabeprazole-thioether,CC1=C(OCCCO)C=CN=C1CSC1=NC2=CC=CC=C2N1,CYP1A2;CYP2A6;CYP2B6;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,O-Desmethylation,0.99
Dehydroxyzyleuton,CC(NC(=N)O)C1=CC2=CC=CC=C2S1,Dehydroxyzyleuton sulfoxide,CC(NC(=N)O)C1=CC2=CC=CC=C2S1=O,CYP3A4,Thiohene S-oxidation,0.2
Dehydroxyzyleuton,CC(NC(=N)O)C1=CC2=CC=CC=C2S1,(1S)â€1â€(6â€hydroxyâ€1â€benzothiophenâ€2â€yl)ethylurea,CC(NC(=N)O)C1=CC2=CC=C(O)C=C2S1,CYP1A2; CYP2C9,Aromatic hydroxylation of fused benzene ring,0.86
"(2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-(4-fluorophenyl)morpholine",CC(OC1OCCNC1C1=CC=C(F)C=C1)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,aprepitant_M2,CC(OC1OCC=NC1C1=CC=C(F)C=C1)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,CYP3A4,Dehydrogenation,0.72
2-Methoxy-5-trifluoromethoxybenzylamine,COC1=CC=C(OC(F)(F)F)C=C1CN,"CP-919,230",NCC1=CC(OC(F)(F)F)=CC=C1O,CYP1A2;CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,O-Demethylation,0.93
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",CC1=NC2=C(C(=O)N(C)C(=O)N2CC2=CC=CO2)N1C,,CC1=NC2=C(C(=O)N(C)C(=O)N2CC2=CC(O)=CO2)N1C,CYP1A2,Aliphatic Hydroxylation,0.98
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",CC1=NC2=C(C(=O)N(C)C(=O)N2CC2=CC=CO2)N1C,,CC1=NC2=C(C(=O)N(C)C(=O)N2CC2=C(O)C=CO2)N1C,CYP1A2,Aliphatic Hydroxylation,0.96
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",CC1=NC2=C(C(=O)N(C)C(=O)N2CC2=CC=CO2)N1C,,CC1=NC2=C(C(=O)N(C)C(=O)N2CC2=CC=C(O)O2)N1C,CYP1A2,Aliphatic Hydroxylation,0.96
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",CC1=NC2=C(C(=O)N(C)C(=O)N2CC2=CC=CO2)N1C,,CN1C(=O)C2=C(N=C(CO)N2C)N(CC2=CC=CO2)C1=O,CYP1A2,Aliphatic Hydroxylation,0.96
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",CC1=NC2=C(C(=O)N(C)C(=O)N2CC2CCCCC2)N1C,,CC1=NC2=C(C(=O)N(C)C(=O)N2CC2CCCC(O)C2)N1C,CYP1A2,Aliphatic Hydroxylation,0.97
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",CC1=NC2=C(C(=O)N(C)C(=O)N2CC2CCCCC2)N1C,,CC1=NC2=C(C(=O)N(C)C(=O)N2CC2CCCCC2)N1CO,CYP1A2,Aliphatic Hydroxylation,0.95
