parent_name,parent_smiles,metabolite_name,metabolite_smiles,enzymes,reaction_type,fingerprint_similarity
acetaminophen,CC(O)=NC1=CC=C(O)C=C1,N-Acetyl-p-benzoquinone,CC(=O)N=C1C=CC(=O)C=C1,CYP1A2; CYP2E1; CYP3A4; CYP2A6; CYP2C9; CYP2D6; CYP1A1,Oxidation of p-substituted anilides,0.06
acetaminophen,CC(O)=NC1=CC=C(O)C=C1,3-Hydroxyacetaminophen,CC(O)=NC1=CC=C(O)C(O)=C1,CYP2A6 (major); CYP2E1; CYP1A2; CYP2C8; CYP2C9; CYP3A4,Hydroxylation of benzene on carbon orhto to a strongly electron donating group,0.7
pinoline,COC1=CC=C2NC3=C(CCNC3)C2=C1,"1H,2H,3H,4H,9H‐pyrido[3,4‐b]indol‐6‐ol",OC1=CC=C2NC3=C(CCNC3)C2=C1,CYP2D6,O-aryl demethylation,0.95
1-(3-Trifluoromethylphenyl)piperazine,FC(F)(F)C1=CC=CC(N2CCNCC2)=C1,HO-TFMPP,OC1=CC=C(N2CCNCC2)C=C1C(F)(F)F,CYP2D6; CYP1A2; CYP3A4,Aromatic Hydroxylation,0.77
"2-Amino-3-methylimidazo(4,5-F)quinoline",CN1C(=N)NC2=C3C=CC=NC3=CC=C21,"N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)",CN1C(NO)=NC2=C3C=CC=NC3=CC=C21,CYP1A2; CYP1A1,N-Hydroxylation,0.65
"5-Methoxy-N,N-diisopropyltryptamine",COC1=CC=C2NC=C(CCN(C(C)C)C(C)C)C2=C1,5-OH-DIPT,CC(C)N(CCC1=CNC2=CC=C(O)C=C12)C(C)C,CYP2D6,O-Demethylation,0.92
"5-Methoxy-N,N-diisopropyltryptamine",COC1=CC=C2NC=C(CCN(C(C)C)C(C)C)C2=C1,5-MeO-IPT,COC1=CC=C2NC=C(CCNC(C)C)C2=C1,CYP1A2;CYP3A4;CYP2C9;CYP2C19,N-deisopropylation,0.95
(R)-halothane,FC(F)(F)C(Cl)Br,trifluoroacetic acid,O=C(O)C(F)(F)F,CYP2E1,Oxidation of halotrifluoroethane,0.19
(R)-halothane,FC(F)(F)C(Cl)Br,"1-chloro-2,2,2-trifluoroethanide",FC(F)(F)[CH-]Cl,CYP2A6; CYP3A4; CYP2B6; CYP2C9; CYP2D6,Reduction of terminal aliphatic trihalide,0.55
"(R)-3,4-Methylenedioxymethamphetamine",CNC(C)CC1=CC=C2OCOC2=C1,"N-Methyl-3,4- dihydroxyamphetamine",CNC(C)CC1=CC=C(O)C(O)=C1,CYP1A2; CYP2D6,Methylenedioxy ring opening,0.69
"(R)-3,4-Methylenedioxymethamphetamine",CNC(C)CC1=CC=C2OCOC2=C1,"3,4-Methylenedioxymethamphetamine",CC(N)CC1=CC=C2OCOC2=C1,CYP2D6 (major); CYP1A2; CYP2B6; CYP3A4,N-dealkylation of acyclic secondary amine,0.95
"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1C1=CC=CC([N+](=O)[O-])=C1,OPC-13463,COC(=O)C1=C(C)N=C(C)C(C(=O)O)=C1C1=CC=CC([N+](=O)[O-])=C1,CYP2C19;CYP2D6;CYP2E1;CYP3A4,Dehydrogenation,0.32
