parent_smiles,metabolite_smiles
CC(O)=NC1=CC=C(O)C=C1,CC(=O)N=C1C=CC(=O)C=C1
COC1=CC=C2NC3=C(CCNC3)C2=C1,OC1=CC=C2NC3=C(CCNC3)C2=C1
FC(F)(F)C1=CC=CC(N2CCNCC2)=C1,OC1=CC=C(N2CCNCC2)C=C1C(F)(F)F
CN1C(=N)NC2=C3C=CC=NC3=CC=C21,CN1C(NO)=NC2=C3C=CC=NC3=CC=C21
COC1=CC=C2NC=C(CCN(C(C)C)C(C)C)C2=C1,CC(C)N(CCC1=CNC2=CC=C(O)C=C12)C(C)C
FC(F)(F)C(Cl)Br,O=C(O)C(F)(F)F
CNC(C)CC1=CC=C2OCOC2=C1,CNC(C)CC1=CC=C(O)C(O)=C1
COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1C1=CC=CC([N+](=O)[O-])=C1,COC(=O)C1=C(C)N=C(C)C(C(=O)O)=C1C1=CC=CC([N+](=O)[O-])=C1
O=C(C1=CC=CS1)C1=CC=C(OCCCO)C(Cl)=C1Cl,O=C(C1=CC=C(O)S1)C1=CC=C(OCCCO)C(Cl)=C1Cl
COC1=CC=C(CC(C)N)C=C1,CC(N)CC1=CC=C(O)C=C1
COC12CC(CO)CN(C)C1CC1=CN(C)C3=CC=CC2=C13,COC12CC(CO)CN(C)C1CC1=CNC3=CC=CC2=C13
COC1=CC=CC(OC)=C1C1=CC=C(CC(N=C(O)C2=C(Cl)C=CC=C2Cl)C(=O)O)C=C1,COC1=CC=CC(O)=C1C1=CC=C(CC(N=C(O)C2=C(Cl)C=CC=C2Cl)C(=O)O)C=C1
COCCCOC1=CC=NC(CSC2=NC3=CC=CC=C3N2)=C1C,COCCCOC1=CC=NC(CS(=O)C2=NC3=CC=CC=C3N2)=C1C
CC(NC(=N)O)C1=CC2=CC=CC=C2S1,CC(NC(=N)O)C1=CC2=CC=CC=C2S1=O
CC(OC1OCCNC1C1=CC=C(F)C=C1)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,CC(OC1OCC=NC1C1=CC=C(F)C=C1)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1
COC1=CC=C(OC(F)(F)F)C=C1CN,NCC1=CC(OC(F)(F)F)=CC=C1O
CC1=NC2=C(C(=O)N(C)C(=O)N2CC2=CC=CO2)N1C,CC1=NC2=C(C(=O)N(C)C(=O)N2CC2=CC(O)=CO2)N1C
CC1=NC2=C(C(=O)N(C)C(=O)N2CC2CCCCC2)N1C,CC1=NC2=C(C(=O)N(C)C(=O)N2CC2CCCC(O)C2)N1C
CCC1(C)CC(O)=NC1=O,CC(O)C1(C)CC(O)=NC1=O
CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(=O)O,CCC1=CC(O)=CC2=C1NC1=C2CCOC1(CC)CC(=O)O
C=C(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)C(O)C1
COC(=O)C1C(OC(=O)C2=CC=CC=C2)CC2CCC1N2C,COC(=O)C1C2CCC(CC1OC(=O)C1=CC=CC=C1)N2
O=C1N=C(O)CCC1N1C(=O)C2=CC=CC=C2C1=O,O=C1N=C(O)C(N2C(=O)C3=CC=CC=C3C2=O)CC1O
CC(C1=CC2=CC=CC=C2S1)N(O)C(=N)O,CC(C1=CC2=CC=CC=C2S1=O)N(O)C(=N)O
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
CC1=CCC2C(C1)C2(C)C,CC1(C)C2CC=C(CO)CC21
CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,CC(C)NCC(O)COC1=CC=C(COCCO)C=C1
N#CC1=NN(C2=C(Cl)C=C(C(F)(F)F)C=C2Cl)C(N)=C1S(=O)C(F)(F)F,N#CC1=NN(C2=C(Cl)C=C(C(F)(F)F)C=C2Cl)C(N)=C1S(=O)(=O)C(F)(F)F
CCCCN(CCCC)CCC(O)C1=CC2=C(Cl)C=C(Cl)C=C2C2=CC(C(F)(F)F)=CC=C12,CCCCNCCC(O)C1=CC2=C(Cl)C=C(Cl)C=C2C2=CC(C(F)(F)F)=CC=C12
CC1C(=O)CC2(C(C)C)CC12,CC(C)C12CC(=O)C(C)(O)C1C2
