virtual_analog_id,parent_smiles,chembl_id_metabolite,metabolite_smiles
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL1233584,CCC(C)C(N)C(=O)O
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL184572,CCC(C)C(N)C(=O)N1N=CCC1C#N
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL238014,CCC(C)C(N)C(=O)N1CCC2CC21
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL315163,CCC(C)C(N)C(=O)N1CSCCC1C#N
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL327187,CCC(C)C(N)C(=O)N1CCSC1C#N
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL328123,CCC(C)C(N)C(=O)N1COCC1C#N
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL329641,CCC(C)C(N)C(=O)N1CCCC1C#N
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL92706,CCC(C)C(N)C(=O)N1CCCC1(C)C#N
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL93208,CCC(C)C(N)C(=O)N1CSCC1C#N
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL93526,CCC(C)C(N)C(=O)N1CCCCC1C#N
1,CCC(C)C(N)C(=O)NC(C)B(O)O,CHEMBL98408,CCC(C)C(N)C(=O)N1CCSC1
2,CC(NC(=O)C(C)CCC(=O)O)B(O)O,CHEMBL78780,CC(CCC(=O)O)C(=O)N1CCCC1C(=O)O
3,CC(NC(=O)C(CCC(=O)O)C(=O)NO)B(O)O,CHEMBL432726,O=C(O)CCC(C(=O)O)C(=O)NO
4,CC(NC(=O)C(CCC(=O)O)C(=O)O)B(O)O,CHEMBL432726,O=C(O)CCC(C(=O)O)C(=O)NO
5,CC(NC(=O)C(CCC(=O)O)CC(=O)O)B(O)O,CHEMBL65860,O=C(O)CCC(CC(=O)O)C(=O)O
6,CC(NC(=O)C(O)CCC(=O)O)B(O)O,CHEMBL1615211,O=C(O)CCC(O)C(=O)O
6,CC(NC(=O)C(O)CCC(=O)O)B(O)O,CHEMBL447366,CC(NC(=O)C(N)CCC(=O)O)B(O)O
