parent_name,parent_smiles,parent_inchi,metabolite_name,metabolite_smiles,metabolite_inchi,enzymes,fingerprint_similarity,reaction_type
Ademetionine,C[S+](CCC(N)C(=O)[O-])CC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1O,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)/t7-,8+,10+,11+,14+,27?/m0/s1",S-Adenosylhomocysteine,NC1=C2N=CN(C3OC(CSCCC(N)C(=O)O)C(O)C3O)C2=NC=N1,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,,0.98,
Ascorbic acid,O=C1OC(C(O)CO)C(O)=C1O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,ascorbic acid-2-sulfate,O=C1OC(C(O)CO)C(O)=C1OS(=O)(=O)O,XDBMXUKHMOFBPJ-VVJJHMBFSA-N,,0.65,
Ornithine,NCCCC(N)C(=O)O,AHLPHDHHMVZTML-BYPYZUCNSA-N,L-Arginine,N=C(N)NCCCC(N)C(=O)O,ODKSFYDXXFIFQN-BYPYZUCNSA-N,,0.62,
Ornithine,NCCCC(N)C(=O)O,AHLPHDHHMVZTML-BYPYZUCNSA-N,Proline,O=C(O)C1CCCN1,ONIBWKKTOPOVIA-BYPYZUCNSA-N,,0.57,
Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C3)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Tetrahydrofolic acid,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C(=O)NC(CCC(=O)O)C(=O)O)C=C3)N2)N1,"InChI=1S/C19H23N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,11-12,21,23H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)/t11?,12-/m0/s1",Dihydrofolate reductase,0.54,
Cholecalciferol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,QYSXJUFSXHHAJI-YRZJJWOYSA-N,"(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)",C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CC(OC1OC(C(=O)O)C(O)C(O)C1O)C(=O)C(C)(C)O,USYNZBLVOOXNSN-ARRWHRBTSA-N,,0.44,
Cholecalciferol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,QYSXJUFSXHHAJI-YRZJJWOYSA-N,Calcifediol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,JWUBBDSIWDLEOM-DTOXIADCSA-N,Vitamin D 25-hydroxylase,0.97,
Calcifediol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,JWUBBDSIWDLEOM-DTOXIADCSA-N,Calcitriol,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,GMRQFYUYWCNGIN-NKMMMXOESA-N,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",0.87,
Fluvoxamine,COCCCCC(=NOCCN)C1=CC=C(C(F)(F)F)C=C1,CJOFXWAVKWHTFT-XSFVSMFZSA-N,fluvoxamino acid,NCCON=C(CCCC(=O)O)C1=CC=C(C(F)(F)F)C=C1,KUIZEDQDELAFQK-XDHOZWIPSA-N,Cytochrome P450 1A2,0.91,
Valsartan,CCCCC(=O)N(CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1)C(C(=O)O)C(C)C,ACWBQPMHZXGDFX-QFIPXVFZSA-N,Valeryl-4-hydroxyvalsartan,CC(O)CCC(=O)N(CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1)C(C(=O)O)C(C)C,ICSQZMPILLPFKC-XLDIYJRPSA-N,Cytochrome P450 2C9,0.98,
